Tweet;Language;Sentiment
messi done fanbas;en;0
messi done fanbas;en;0
even messi couldnt save game;en;0
even messi couldnt save game;en;0
even messi couldnt save game;en;0
even messi couldnt save game;en;0
messi donn carrir guardiola mdr;fr;0
messi donn carrir guardiola mdr;fr;0
world champion lionel messi psg team match renn;en;1
world champion lionel messi psg team match renn;en;1
messi donn carrir guardiola mdr;fr;0
messi donn carrir guardiola mdr;fr;0
world champion lionel messi psg team match renn;en;1
world champion lionel messi psg team match renn;en;1
kiss sergio ramo lionel messi;en;0
kiss sergio ramo lionel messi;en;0
kiss sergio ramo lionel messi;en;0
kiss sergio ramo lionel messi;en;0
goal wont come thin air retard someon creat someth penaldo cant messi creat score henc he better simpl realli brain one cri call rig lmaooo penaldo built legaci score offsid goal;en;0
goal wont come thin air retard someon creat someth penaldo cant messi creat score henc he better simpl realli brain one cri call rig lmaooo penaldo built legaci score offsid goal;en;0
goal wont come thin air retard someon creat someth penaldo cant messi creat score henc he better simpl realli brain one cri call rig lmaooo penaldo built legaci score offsid goal;en;0
goal wont come thin air retard someon creat someth penaldo cant messi creat score henc he better simpl realli brain one cri call rig lmaooo penaldo built legaci score offsid goal;en;0
leo messi;en;0
leo messi;en;0
leo messi;en;0
leo messi;en;0
messi iffh award somehow manag miss everi singl one;en;1
messi iffh award somehow manag miss everi singl one;en;1
messi iffh award somehow manag miss everi singl one;en;1
messi iffh award somehow manag miss everi singl one;en;1
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
messi celebr;en;0
messi celebr;en;0
messi celebr;en;0
messi celebr;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
copa america finalissima world cup champion lionel messi psg team match renn;en;1
copa america finalissima world cup champion lionel messi psg team match renn;en;1
copa america finalissima world cup champion lionel messi psg team match renn;en;1
copa america finalissima world cup champion lionel messi psg team match renn;en;1
pep foden hate mani yr corni messi manag freestyl shit made let foden spin sit mahrez need justifi grealish contract polit perform;en;0
pep foden hate mani yr corni messi manag freestyl shit made let foden spin sit mahrez need justifi grealish contract polit perform;en;0
pep foden hate mani yr corni messi manag freestyl shit made let foden spin sit mahrez need justifi grealish contract polit perform;en;0
pep foden hate mani yr corni messi manag freestyl shit made let foden spin sit mahrez need justifi grealish contract polit perform;en;0
messi done fanbas;en;0
messi done fanbas;en;0
contrair dit leo messi naurait reu aucun offr dal hilal volont joueur rester;fr;0
contrair dit leo messi naurait reu aucun offr dal hilal volont joueur rester;fr;0
messi done fanbas;en;0
messi done fanbas;en;0
contrair dit leo messi naurait reu aucun offr dal hilal volont joueur rester;fr;0
contrair dit leo messi naurait reu aucun offr dal hilal volont joueur rester;fr;0
let know messi pleas;en;0
let know messi pleas;en;0
lorsqu voi tou messi neymar mbapp assur psg sou coloni capit manqu moin;fr;0
lorsqu voi tou messi neymar mbapp assur psg sou coloni capit manqu moin;fr;0
let know messi pleas;en;0
let know messi pleas;en;0
lorsqu voi tou messi neymar mbapp assur psg sou coloni capit manqu moin;fr;0
lorsqu voi tou messi neymar mbapp assur psg sou coloni capit manqu moin;fr;0
copa america finalissima world cup champion lionel messi psg team match renn;en;1
copa america finalissima world cup champion lionel messi psg team match renn;en;1
copa america finalissima world cup champion lionel messi psg team match renn;en;1
copa america finalissima world cup champion lionel messi psg team match renn;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
messi done fanbas;en;0
messi done fanbas;en;0
messi done fanbas;en;0
messi done fanbas;en;0
feel offici goat;en;0
feel offici goat;en;0
feel offici goat;en;0
feel offici goat;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
lionel messi one month ago;en;0
lionel messi one month ago;en;0
lionel messi one month ago;en;0
lionel messi one month ago;en;0
bear market els would paid messi view;en;0
bear market els would paid messi view;en;0
bear market els would paid messi view;en;0
bear market els would paid messi view;en;0
assist season messi bruyn ronaldo last season;en;0
assist season messi bruyn ronaldo last season;en;0
assist season messi bruyn ronaldo last season;en;0
assist season messi bruyn ronaldo last season;en;0
btec messi;en;0
btec messi;en;0
btec messi;en;0
btec messi;en;0
lionel messi marri childhood sweetheart antonella roccuzzo messi noth she;en;1
lionel messi marri childhood sweetheart antonella roccuzzo messi noth she;en;1
lionel messi marri childhood sweetheart antonella roccuzzo messi noth she;en;1
lionel messi marri childhood sweetheart antonella roccuzzo messi noth she;en;1
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
